[0. 0.],[0.5 0. ],[0.0074401  0.49722573],
[0.94035309 0.09003783],[0.44779319 0.58726356],[0.94779319 0.58726356],
[0.45523329 0.08448928],[0.95523329 0.08448928],[0.46267339 0.58171501],
[0.96267339 0.58171501],[0.47011349 0.07894073],[0.97011349 0.07894073],
[0.47755359 0.57616646],[0.97755359 0.57616646],[0.48499369 0.07339218],
[0.98499369 0.07339218],[0.4924338  0.57061791],[0.9924338  0.57061791],
[0.4998739  0.06784363],[0.9998739  0.06784363],[0.507314   0.56506936],
[0.007314   0.56506936],[0.5147541  0.06229508],[0.0147541  0.06229508],
[0.5221942  0.55952081],[0.0221942  0.55952081],[0.5296343  0.05674653],
[0.0296343  0.05674653],[0.5370744  0.55397226],[0.0370744  0.55397226],
[0.5445145  0.05119798],[0.0445145  0.05119798],[0.5519546  0.54842371],
[0.0519546  0.54842371],[0.5593947  0.04564943],[0.0593947  0.04564943],
[0.5668348  0.54287516],[0.0668348  0.54287516],[0.57427491 0.04010088],
[0.07427491 0.04010088],[0.58171501 0.53732661],[0.08171501 0.53732661],
[0.58915511 0.03455233],[0.08915511 0.03455233],[0.59659521 0.53177806],
[0.09659521 0.53177806],[0.60403531 0.02900378],[0.10403531 0.02900378],
[0.61147541 0.52622951],[0.11147541 0.52622951],[0.61891551 0.02345523],
[0.11891551 0.02345523],[0.62635561 0.52068096],[0.12635561 0.52068096],
[0.63379571 0.01790668],[0.13379571 0.01790668],[0.64123581 0.51513241],
[0.14123581 0.51513241],[0.64867591 0.01235813],[0.14867591 0.01235813],
[0.65611602 0.50958386],[0.15611602 0.50958386],[0.66355612 0.00680958],
[0.16355612 0.00680958],[0.67099622 0.50403531],[0.17099622 0.50403531],
[0.67843632 0.00126103],[0.17843632 0.00126103],[0.68587642 0.49848676],
[0.18587642 0.49848676],[0.69331652 0.99571248],[0.19331652 0.99571248],
[0.70075662 0.49293821],[0.20075662 0.49293821],[0.70819672 0.99016393],
[0.20819672 0.99016393],[0.71563682 0.48738966],[0.21563682 0.48738966],
[0.72307692 0.98461538],[0.22307692 0.98461538],[0.73051702 0.48184111],
[0.23051702 0.48184111],[0.73795712 0.97906683],[0.23795712 0.97906683],
[0.74539723 0.47629256],[0.24539723 0.47629256],[0.75283733 0.97351828],
[0.25283733 0.97351828],[0.76027743 0.47074401],[0.26027743 0.47074401],
[0.76771753 0.96796974],[0.26771753 0.96796974],[0.77515763 0.46519546],
[0.27515763 0.46519546],[0.78259773 0.96242119],[0.28259773 0.96242119],
[0.79003783 0.45964691],[0.29003783 0.45964691],[0.79747793 0.95687264],
