[0.19117647 0.71057299],[0.88562092 0.90699154],[0.4624183  0.99249138],
[0.97222222 1.09994388],[0.57026144 1.17273429],[0.46895425 0.78914041],
[0.06699346 0.86193081],[0.67810458 0.17446589],[0.15359477 1.05488316],
[0.84803922 1.25130171],[0.28267974 0.04390532],[0.45261438 1.12074114],
[0.97712418 0.24032387],[0.02941176 1.20624098],[0.72385621 1.40265953],
[0.58169935 0.10976331],[0.66176471 0.50606662],[0.15849673 0.19526315],
[0.32843137 1.27209896],[0.66830065 0.30271565],[0.26633987 0.37550605],
[0.93954248 0.58463404],[0.54411765 0.45407347],[0.12091503 0.53957331],
[0.65196078 0.63431638],[0.22875817 0.71981622],[0.92320261 0.91623477],
[0.52777778 0.7856742 ],[0.10457516 0.87117404],[0.79901961 1.06759259],
[0.61437908 0.97862654],[0.90686275 1.2478355 ],[0.40359477 0.93703203],
[0.91339869 1.04448453],[0.32026144 0.05314855],[0.49019608 1.12998437],
[0.08823529 1.20277477],[0.09477124 0.9994238 ],[0.61928105 0.11900653],
[0.78921569 1.19584235],[0.19607843 0.20450637],[0.72712418 0.29924944],
[0.36601307 1.28134219],[0.89705882 1.37608526],[0.30392157 0.38474928],
[0.99836601 0.58116783],[0.60294118 0.45060726],[0.17973856 0.5361071 ],
[0.68954248 0.6435596 ],[0.18627451 0.33275613],[0.98856209 0.70941759],
[0.56535948 0.79491743],[0.0620915  0.48411396],[0.16993464 0.66435686],
[0.86437908 0.86077541],[0.44117647 0.94627525],[0.37908497 0.04968234],
[0.95098039 1.05372775],[0.44771242 0.74292428],[0.04575163 0.81571469],
[0.54901961 1.12651816],[0.65686275 0.12824976],[0.13235294 1.00866703],
[0.82679739 1.20508558],[0.4248366  1.27787598],[0.76470588 0.30849266],
[0.93464052 1.38532848],[0.95588235 0.19410774],[0.43137255 1.07452501],
[0.00816993 1.16002485],[0.11601307 1.34026776],[0.1372549  0.14904702],
[0.64052288 0.45985049],[0.64705882 0.25649952],[0.24509804 0.32928992],
[0.62418301 0.79145122],[0.52287582 0.40785734],[0.0996732  0.49335718],
[0.63071895 0.58810025],[0.20751634 0.67360009],[0.90196078 0.87001864],
[0.50653595 0.73945807],[0.08333333 0.82495791],[0.59313725 0.93241041],
[0.19117647 1.00520082],[0.88562092 1.20161937],[0.29901961 0.00693242],
[0.97222222 1.39457171],[0.46895425 1.08376824],[0.06699346 1.15655864],
[0.99346405 0.20335097],[0.57679739 1.26401114],[0.59803922 0.0727904 ],
[0.15359477 1.34951098],[0.1748366  0.15829024],[0.70588235 0.25303331],
[0.87581699 1.32986913],[0.28267974 0.33853315],[0.97712418 0.5349517 ],
[0.98366013 0.33160073],[0.58169935 0.40439113],[0.05718954 1.2848084 ],
[0.15849673 0.48989097],[0.66830065 0.59734347],[0.26633987 0.67013388],
[0.16503268 0.28654   ],[0.96732026 0.66320146],[0.54411765 0.7487013 ],
[0.65196078 0.9289442 ],[0.14869281 0.61814073],[0.22875817 1.01444404],
[0.35784314 0.00346621],[0.92973856 1.00751162],[0.52777778 1.08030203],
[0.0245098  0.76949856],[0.61437908 1.27325437],[0.11111111 0.9624509 ],
[0.63562092 0.08203363],[0.40359477 1.23165985],[0.74346405 0.26227653],
[0.91339869 1.33911235],[0.34803922 0.13171597],[0.61928105 0.41363436],
[0.09477124 1.29405163],[0.72712418 0.59387726],[0.22385621 0.28307379],
[0.37254902 1.37261905],[0.31045752 0.47602613],[0.60294118 0.74523509],
[0.68954248 0.93818743],[0.18627451 0.62738396],[0.98856209 1.00404541],
[0.48529412 0.69324194],[0.0620915  0.77874178],[0.57189542 0.88619428],
[0.16993464 0.95898469],[0.69444444 0.07856742],[0.86437908 1.15540324],
[0.80228758 0.25881033],[0.95098039 1.34835558],[0.44771242 1.03755211],
[0.04575163 1.11034251],[0.38562092 0.14095919],[0.55555556 1.21779501],
[0.13235294 1.30329485],[0.68464052 0.20681718],[0.26143791 0.29231702],
[0.43137255 1.36915284],[0.95588235 0.48873557],[0.56045752 0.358175  ],
[0.1372549  0.44367484],[0.64705882 0.55112734],[0.24509804 0.62391775],
[0.94607843 0.61698533],[0.52287582 0.70248517],[0.63071895 0.88272807],
[0.12745098 0.5719246 ],[0.20751634 0.96822791],[0.90849673 0.96129549],
[0.50653595 1.0340859 ],[0.84640523 0.06470258],[0.59313725 1.22703824],
[0.19117647 1.29982864],[0.2124183 0.1086079],[0.02777778 0.01964186],
[0.08986928 0.91623477],[0.19771242 1.09647767],[0.72222222 0.21606041],
[0.89215686 1.29289622],[0.46895425 1.37839606],[0.32679739 0.08549984],
[0.59803922 0.36741823],[0.07352941 1.2478355 ],[0.70588235 0.54766113],
[0.20261438 0.23685766],[0.28921569 0.42981   ],[0.98366013 0.62622855],
[0.58169935 0.69901896],[0.66830065 0.8919713 ],[0.16503268 0.58116783],
[0.27287582 0.76141073],[0.96732026 0.95782928],[0.54411765 1.04332912],
[0.65196078 1.22357203],[0.67320261 0.03235129],[0.14869281 0.91276856],
[0.78104575 0.2125942 ],[0.92973856 1.30213945],[0.52777778 1.37492985],
[0.0245098  1.06412638],[0.36437908 0.09474307],[0.53431373 1.17157888],
[0.11111111 1.25707872],[0.66339869 0.16060105],[0.74346405 0.55690436],
[0.24019608 0.24610089],[0.41013072 1.32293671],[0.34803922 0.42634379],
[0.72712418 0.88850509],[0.62581699 0.50491121],[0.22385621 0.57770162],
[0.73366013 0.68515412],[0.31045752 0.77065396],[0.60947712 0.83651194],
[0.18627451 0.92201178],[0.98856209 1.29867324],[0.48529412 0.98786977],
[0.8251634  0.01848645],[0.42320261 0.09127686],[0.99509804 1.09532227],
[0.0620915  1.07336961],[0.57189542 1.18082211],[0.16993464 1.25361251],
